,content,score,thumbsUpCount,at
0,"It's Great app, but an organization feature would be amazing! I absolutely love using DeepSeek, but I think one feature that would make the app even better is the ability to organize chat history into folders or sections. Currently, it’s hard to manage multiple conversations, especially for users who have a lot of ongoing discussions on different topics. Being able to categorize, label, or move chats into specific folders would be a huge time-saver and make the app much more user-friendly! Best!",5,54,2025-01-29 16:05:38
1,"DeepSeek is an absolute game-changer! This app has completely transformed the way I manage tasks and stay organized. The user interface is sleek, intuitive, and incredibly easy to navigate. Whether I'm tracking my daily goals, managing projects, or just jotting down quick notes, DeepSeek makes it all seamless and efficient. One of the standout features is its AI-powered insights. It feels like having a personal assistant that knows exactly what I need, offering smart suggestions and reminders.",5,38,2025-01-28 19:34:25
2,"I hope this message finds you well. I’m a big fan of your app and use it regularly on my Android tablet. However, I’ve noticed that the app currently doesn’t support landscape orientation, which makes it less convenient for tablet users like myself. Landscape mode would greatly enhance the usability of the app, especially for tasks like multitasking, viewing content, or using the app alongside other apps in split-screen mode. Many tablet users, including myself",5,45,2025-02-01 10:55:53
3,"Subject: Issue with App Performance – Server Busy Error Dear [App Support Team], I am experiencing difficulties while using Deepseek. The app frequently displays a ""Server is busy"" error, preventing me from accessing its features properly. This issue has been persistent and is affecting my user experience. I would appreciate it if you could look into this matter and provide a resolution at the earliest. Thank you for your assistance.",1,365,2025-02-01 17:58:11
4,"DeepSeek is a game-changer! Its AI-powered search is incredibly fast, accurate, and intuitive. Whether I'm looking for information, files, or answers, DeepSeek delivers results in seconds. The interface is clean and user-friendly, making it a joy to use. Highly recommended for anyone who values efficiency and smart technology. A must-have app!",5,10,2025-02-01 17:01:23
5,"DeepSeek-V3 is a helpful and intelligent assistant, but the lack of a memory feature is a significant drawback. It would be great if the app could remember past interactions or preferences to provide more personalized and continuous support. Without this, it feels like starting over in every session. I’m giving it 4 stars because the core functionality is good, but this missing feature limits its potential. Hoping the developers can add this in future updates!",4,5,2025-01-29 04:29:27
6,"Deepseek is a serious and powerful contender for other popular AI models. I really enjoyed my experience using it. I suggest however that a privacy mode like 'turn off chat activity' be included within the app. Also, OCR capabilities need to be improved because although I provided it with a clear picture of a text, it misspelled some words and extracted wrong numbers. Besides this, it's exceptional.",4,18,2025-01-28 22:36:54
7,"The app is pretty good. Provides good and accurate answer. The only issue is that most of the time it is saying ""server is busy. Please try again later"". Please fix this asap. Otherwise this is a masterpiece. EDIT : There's also a bug which prevents me from sending messages. The ""send"" button stops working. I had to make new chat and I completely lost all the data from previous chat. It is very annoying. Please fix this also.",3,12,2025-02-02 17:15:59
8,"DeepSeek has become my go-to app for getting things done. It’s so easy to use, and the AI is incredibly smart—whether I need help writing, organizing tasks, or just brainstorming ideas, it nails it every time. It’s like having a personal assistant in my pocket! The app is fast, reliable, and works for pretty much anything I throw at it. Plus, the price is totally fair for what you get. If you’re looking to save time and work smarter, DeepSeek is a no-brainer. Love it",5,0,2025-01-29 11:04:38
9,"DeepSeek AI provides good answers, but the biggest issue is the server problem. It responds well once or twice, but after that, it just shows a server error. Throughout the day, it might work only once or twice; the rest of the time, whether it's the app or the website, it simply doesn't function. With such inconsistent service, the AI is not very useful. If this issue gets fixed, it could be a great tool, but for now, only 2 stars.",2,23,2025-01-31 04:23:03
10,"DeepSeek is an incredible platform that offers advanced AI-powered solutions. Whether it's for research, data analysis, or content generation, DeepSeek delivers accurate and reliable results. The interface is intuitive and easy to use, making it accessible for both beginners and professionals. I particularly appreciate how fast and efficient the system is, saving me a lot of time on complex tasks. The team behind DeepSeek has clearly put a lot of thought into creating a tool that is both powerfu",5,6,2025-01-29 05:49:24
11,"Deepz! Literally the best free LLM rn! I've tested this for coding tasks, content creation and technical troubleshooting and it's even better than gpt 4/4o mini in most cases. Most importantly, it's free! The only minor issue that I face sometimes is with the file attachment feature. It sometimes fails to scan an image, but I hope DeepSeek team will soon fix it. And maybe they even add more attachments options in the futurez!",5,2,2025-02-01 18:46:24
12,"The AI always take so much time to reply and you gotta keep in mind that if it's taking so much time, its going to show an error indicating that the server is busy, its not a problem that barely happens, its a problem that always happen! Honestly, while using the app, I spent more time seeing these errors instead of seeing deepseek reply. Edit: The problem still hasn't been fixed, the Devs are doing nothing.",3,7,2025-02-01 06:06:30
13,"The AI app provides excellent and accurate information, even better than ChatGPT in some cases. The responses are well-structured, informative, and helpful for various queries. However, one major drawback is that it does not allow users to create PDFs or other documents from the provided information, unlike ChatGPT. Adding this feature would make the app even more useful. Overall, a great app for information seekers!",4,1,2025-01-29 05:16:48
14,"Extremely relevant outcomes, outstanding thinking process, the fact that you can see how it think is very smart and helpful, the only issue ""server is busy, please try again later"" problem sometimes, but that's understandable and completely normal cause of its fast growth and it actually shows its potential, and it's completely FREE 😳 ❗ One suggestion for improvement would be to add a memory function and constantly learn about the user, the changes in behaviour for more personalized outcomes.",5,1,2025-01-29 17:33:43
15,"DeepSeek is cool name, but it needs a live voice calling model like ChatGPT's ""Advanced Voice Mode."" This would make interactions more dynamic and user-friendly. Additionally, DeepSeek should consider setting up local servers in every country. Currently, the app often stops thinking or shows errors like ""The server is busy. Please try again later,"" which disrupts the experience. With these improvements, DeepSeek could become even more reliable and efficient.",2,2,2025-02-01 18:16:41
16,"*An Excellent AI-Powered Search Engine!* DeepSeek is a game-changer! The search results are highly relevant, fast, and much more refined compared to traditional search engines. It understands queries intelligently and provides accurate answers, even for complex topics. The clean interface and ad-free experience make browsing smooth and distraction-free. Sometimes it's creepy don't respond quickly. One more thing if search for tragedy done by chinese govt it will not show any results.",5,3,2025-01-30 07:44:48
17,Just downloaded the android version for the app works pretty well on PC's but the app takes a lot of time to load responses even a small hey it says it still is generating the response. As per my first hand experience from a neutral Customer point of view i would not consider this as a viable product next time. Just a suggestion to work on the interface and overall speed and accuracy of delivery across any platform be it computers or mobile phones.,1,11,2025-01-29 12:18:03
