Service,Question,Primary Data Source,Secondary Data Source,Custom Sentiment Score,Analysis Type
ChatGPT,Is it safe to use?,can still follow the rules but sometimes we you ask something from the game it shows misinformation instead. So I'll be glad if the Devs fix or at least update its searches so it will be more accurate in giving answer,4,0.24,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"Best information gide,thaks chat GPT",4,2.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,nice app. need more informations.,3,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,Very nice app give all information and also give coding bestest app,5,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"I think will take so long to a great, interesting and useful app be created! Especially for whom search knowledge, even without internet access, the robot can be greater than any source of knowledge, ""as described until 2022"" . The information came in the shape you want it, the best friend to scientists, rsss, talk without bias, but some rules is limiting the real potential like internet access, (I understand the caution) but like a scientist, and multiverse theory, there are many ways!",4,0.12,Keyword/Text Analysis
ChatGPT,Is it safe to use?,Extremely helpful for information on the fly.,5,1.43,Keyword/Text Analysis
ChatGPT,Is it safe to use?,great for info that doesn't need sources. also good for esoteric information and less discussed topics.,5,1.25,Keyword/Text Analysis
ChatGPT,Is it safe to use?,this is the great app. about to exchange information.,5,1.11,Keyword/Text Analysis
ChatGPT,Is it safe to use?,Its good but sometimes it gives wrong information,3,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,give good information,5,3.33,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"So far, I trusted ChatGPT as the best AI platform among the others. Its free although all the limitations from image generations and more advanced version need real-life payments that are very expensive, it still very reliable. We can be expressive, creative, private and authentic in using this app. Looking forward more advanced features, more updated and refined audio feature and add color customization. It looks pretty dull and less vibrant but overall, 5 stars for me.",5,0.13,Keyword/Text Analysis
ChatGPT,Is it safe to use?,I think chatGPT helps in a very accurate way it just gives information directly what we are searching for rather than making things more complicated to find what we want.,4,0.33,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"accurate information and gives better answers compared to google, I'd give it 7 stars if I could",5,0.59,Keyword/Text Analysis
ChatGPT,Is it safe to use?,very important information give in this app,5,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,very good safe to use for children,5,2.86,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"this application provides wrong information mostly , even sometimes repeatedly. this is my personal experience with this application , at some point this app is helpful but don't rely blindly on this app, this app do mistakes even in small calculations. and will continue to do if you didn't notice them, they are not human's they cannot learn from their mistakes. they cannot overtake us humans, no chance.😂",5,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"overall its good but major concerns being end user is that it is more than just giving just information because developers made it like that. It is also made to chat, share thoughts and many more, it is like personal buddy. so if end user wants to personalise it, it gives disappointing replies and clichés. it should be end users personal choice to personalise it in any manner. age verification should be obtained. developers should program every kind of personalisation",3,0.12,Keyword/Text Analysis
ChatGPT,Is it safe to use?,I appreciate the helpful responses and insightful information provided by ChatGPT. It significantly enhanced my understanding and made the interaction enjoyable.,5,0.48,Keyword/Text Analysis
ChatGPT,Is it safe to use?,very bad very bad they are not sending the Ghibli art I am very trusted person on this but....,1,-1.05,Keyword/Text Analysis
ChatGPT,Is it safe to use?,it's really being useful for me during my exams.....it's not only about chatting but also u can take a picture and ask your doubt. Tbh this app is like my new and trustworthy friend 😄😄. Thank you,5,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,very useful information about Everything,5,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"it's a great app providing every single bit of information to me (doesn't matter which area). Nowadays I use is it more whenever I'm confused or wanna know anything instead of google and YouTube, cause it tells me directly what I want to know while on Google and YouTube I need to find a suitable explanation. great app guys go for it! And the best part is it works without a sign in as well ( though you won't gonna find your search history then, that's comes only with sign in).",5,0.33,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"Good, but gives false information regarding religion. Even if a religion supports evils like slavery, human sacrifice, killing apostates, killing pagans, killing those who work on Sabbath, selling your daughter as a slave, eternal hell for people of other religions etc according to the verses in the religion, Gpt sometimes denies it and sometimes downplays and sometimes justifies the verses. It seems to have been made to support religion no matter what. And OpenAI says others abuse AI. Hypocrite",4,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"Pretty good app, the reason why I gave 4 star is it does not have the information after january 2022 which need to be updated and I wish that the chatgpt 4 was free or atleast less amount. it is so expensive. but still chatgpt 3.5 is also good. no complaints no problem good app deserves 4 star 👌",4,0.34,Keyword/Text Analysis
ChatGPT,Is it safe to use?,gives true information mostly,5,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"Its a good app But make Sure This Ai Knows Everything, In some things This ai Gets confused so If possible put every information into It",4,0.38,Keyword/Text Analysis
ChatGPT,Is it safe to use?,excellent information,5,5.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,worst ai ever that intentionally lets you get wrong information,1,-2.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,It provides information that I ought to know,5,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,don't use this app because this app hack your data,1,-1.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,love it it give me all the informations I need,5,1.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,but more explanation this app is very good give all type of information I like this app,5,0.59,Keyword/Text Analysis
ChatGPT,Is it safe to use?,update...tried it again! ive had it for 2 weeks and ive had to correct the info it was giving. i told it that was not correct and then it would fix its answer not interested in somethingthat doesnt give true answers. ill go back to google and search myself......Not what I'm looking for. Cant even remember information stated or asked previously in a single conversation like it states it can.,1,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"Good App for any information,for everyone ...😊👍🏼",5,1.43,Keyword/Text Analysis
ChatGPT,Is it safe to use?,super and best app for information sharing it is a good sreept writer.,5,1.54,Keyword/Text Analysis
ChatGPT,Is it safe to use?,this app gave me a lot of information and it helped to complete my assignment,5,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,the app is very much helpful in creating with our correct prompts of what we actually want to know. it could be all areas to get information thank you 🙏 for great app,5,0.61,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"Amazing tech, but sadly reduced by humans. It's becoming increasingly difficult to ask a question and receive a straight answer, as developers have been censoring it increasingly hard. The tool has come to the point of refusing to address many questions, or substantially altering information presented, limiting it by imposing arbitrary ideological boundaries. While I love what ChatGPT did, if there was an equally capable tool with far less censorship of responses, I'd use it instead.",4,0.13,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"Absolutely trash. Wouldn't be surprised if the log in was just a front to steal your credential info. Every attempt at making a new account just leads to an infinite circle of hang on while we get this set up for you. If you can't even get your software to create an account, how can I trust your AI 🤣",1,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,One of the best app for information and instant reply.,5,1.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"Really helpful app to upgrade your work.It is useful for students, content creators as well as normal people to get information. Highly recommended this app 😊",5,0.38,Keyword/Text Analysis
ChatGPT,Is it safe to use?,nice giving information,5,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,very useful for studies saved me a lot of time could have more information,5,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,nice response from chatGPt the only think to change is need more detailed information about answers,4,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"First thought it's awesome, but it's not..gives wrong information ,Some information it gives is not even close, i don't like it",2,-0.48,Keyword/Text Analysis
ChatGPT,Is it safe to use?,I love the social sciences information app and thank you for the beautiful app.,5,0.71,Keyword/Text Analysis
ChatGPT,Is it safe to use?,nice app for getting information,5,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,nice information,4,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,It is good app but not have image features to share information through image. But it provides better information about any topic.,5,0.45,Keyword/Text Analysis
ChatGPT,Is it safe to use?,good information,5,5.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"it is the best app as it is easy to get information as we want. school project, speech and many others educational things are very enhancing",4,0.77,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"ChatGPT is an advanced language model developed by OpenAI, designed to understand and generate human-like text based on the input it receives. It's part of a larger family of models known as GPT, or Generative Pre-trained Transformers, which have been fine-tuned for conversational purposes. ChatGPT can engage in discussions, answer questions, provide information, and even create content like stories or dialogues. Its ability to understand context and generate coherent responses makes it a versat",5,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,Its didn't give book summary when i ask book summary then its didn't give me after all google give me all information. Please improve chat gpt,1,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,worse because I know there are policies because of security but I want to talk to him freely.,1,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"well I'm not using an app that might call the police on me, like, who would even use an app that doesn't have any privacy in it to the point where it can call the police on u if it feel that u r about to do something suspicious, like, literally anything u say to chat gpt might be used against u in court and be harmful to u, I'd rather use deepseek instead",1,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"it's a cool app , very convenient and reliable it is basically one of the best AI's out there Trust me you won't regret downloading this app",5,0.74,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"""I am extremely disappointed with the service provided. The information shared was consistently incorrect, leading to confusion. The mistakes were not addressed properly, and it affected the overall trust in the assistance provided. I cannot recommend this service given the recurring errors and lack of accuracy.""",1,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,Providing wrong informations..just waste app,1,-2.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"Love it but please give it access to data after 2021 and access to real time internet data like weather information, traffic info, weather radar etc, definitely not news sources.",5,0.33,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"I love this app, as never disappointed me before, given me information even on topic I least expect to get information from.",5,0.45,Keyword/Text Analysis
ChatGPT,Is it safe to use?,provided me with much informations and it's extremely helpful !!,5,1.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"I had a gotcha moment where chatgpt 4-o revealed a bit too much and basically told me there is a bias in the information peddled. Immediately after that the app refreshed and i was only allowed to use chatgpt 3-o which gave me scripted copy and paste answers I then continued for a bit and when i asked a particular question suddenly im met with ""try again tomorrow"" then ""your daily limit has been reached"" I can't believe how you guys have changed. Been following you guys for ages, this is sad",1,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"Needs to be updated to 2024 and it takes some misunderstandance and texts misleading information and if I question it,it apologizes.Really needs to be updated!",3,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"While ChatGPT functions adequately, Gemini's performance is superior; ChatGPT occasionally exhibits inaccuracies and confusion regarding factual information. However, it remains a usable tool. Gemini's capabilities significantly surpass those of Siri.",3,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,It is like chatgpt was trying to hack my phone i dont think i should use it neither should you,1,-0.5,Keyword/Text Analysis
ChatGPT,Is it safe to use?,"Huge improvements each update, I just hope there is a way for chat gpt to not just write huge essays for a single answer. I would like it to be more organised and answers more accurately without too much information unless asked to do so.",3,0.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,It's really good and gives more information than u think.,5,1.0,Keyword/Text Analysis
ChatGPT,Is it safe to use?,its so nice and easy to use for searching information to finishing the homework,5,0.71,Keyword/Text Analysis
